year,nace_r2_code,nace_r2_name,valCOMP,valEMP,valEMPE,valGO_CP,valGO_PI,valGO_PYP,valGO_Q,valH_EMP,valH_EMPE,valII_CP,valII_PI,valII_PYP,valII_Q,valVA_CP,valVA_PI,valVA_PYP,valVA_Q
1995,E,"Water supply; sewerage, waste management and remediation activities",40516,59.93,58.83,99434,21.2818507821381,,467224.401758587,105298,102722,50642,25.8168402340138,,196158.784502523,48792,17.2907881034557,,282184.939796056
1995,F,Construction,132222,221.25,183.37,605950,23.5963872383781,,2567977.85982449,434675,351656,359427,27.1106261856849,,1325779.04153976,246523,18.3829581918911,,1341040.96536946
1995,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,254613,471.36,365.29,1034417,26.1152233649016,0,3960973.20534596,889460,639916,615797,30.1649709910277,0,2041430.77141749,418620,21.3522221127127,,1960545.36052602
1995,G45,Wholesale and retail trade and repair of motor vehicles and motorcycles,18809,44.22,34.35,107012,41.691255709299,,256677.325207385,,,65766,39.3710967258896,,167041.320839695,41246,44.9400699068077,,91780.0085436714
1995,G46,"Wholesale trade, except of motor vehicles and motorcycles",131446,67.95,63.17,513664,22.3667050068563,,2296556.42099514,,,340720,26.4591992513624,,1287718.48597216,172944,17.1413416912714,,1008929.19069495
1995,G47,"Retail trade, except of motor vehicles and motorcycles",104358,359.19,267.77,413741,27.9616140765093,,1479674.95319802,,,209311,33.2045664343432,,630368.116427238,204430,23.2566590557752,,879017.057049023
1995,H,Transportation and storage,200265,302.56,265.93,614268,25.6547158407619,0,2394366.80496772,531094,442141,300990,30.6261468414399,0,982787.686476883,313278,20.9839998809267,,1492937.48464397
1995,H49,Land transport and transport via pipelines,75760,205.71,169.58,434817,24.2806890931048,,1790793.49162079,,,202794,29.2976540546227,,692185.113599574,232023,18.9271274655659,,1225875.40249898
1995,H50,Water transport,2569,6.02,6.02,7560,8.38614322236014,,90148.7107904695,,,4941,12.3303158897627,,40071.9660726803,2619,2.68654987471123,,97485.6273711097
1995,H51,Air transport,8169,7.08,7.08,41247,28.704230352596,,143696.589294789,,,35230,34.6360631143519,,101714.793288392,6017,19.3694230182947,,31064.4255862286
1995,H52,Warehousing and support activities for transportation,77561,30.61,30.23,77723,28.3374578069693,,274276.544245564,,,45664,34.6830418495885,,131660.885449532,32059,20.6000483734698,,155625.848147463
1995,H53,Postal and courier activities,36206,53.14,53.02,52921,37.974224421144,,139360.318233474,,,12361,43.8284437308171,,28203.1460571999,40560,35.6531702600889,,113762.674410483
1995,I,Accommodation and food service activities,51267,120.36,97.58,263121,19.7454313299438,,1332566.48387811,235745,182857,150104,23.6686343166946,,634189.5269137881,113017,14.8285323184928,,762159.042935461
1995,J,Information and communication,76581,69.18000000000001,66.14,340026,46.636761662909,0,729094.3622066031,127278,120146,171608,47.2029906546544,0,363553.235970821,168418,45.7163872842682,,368397.439090633
1995,J58-J60,"Publishing, motion picture, video, television programme production; sound recording, programming and broadcasting activities",23203,28.86,27.51,114162,35.7965894966966,,318918.650086861,,,72785,52.3318823108475,,139083.474138504,41377,20.7791893756725,,199127.113439962
1995,J61,Telecommunications,36685,25.83,25.69,171117,77.8634369255264,,219765.53663264,,,71822,50.7483496397482,,141525.784601567,99295,104.057638177488,,95423.0768054104
1995,J62-J63,"Computer programming, consultancy, and information service activities",16693,14.49,12.94,54747,35.5214934692814,,154123.587307343,,,27001,40.2921602841031,,67013.03630684951,27746,32.4861151586472,,85408.796541234
1995,K,Financial and insurance activities,104255,87.45999999999999,84.13,387818,17.4709150778385,,2219792.1418091,155475,149177,145993,30.1509075406109,,484207.647160733,241825,11.0926473833861,,2180047.66258224
1995,L,Real estate activities,53642,59.54,57.76,458835,16.6776564912983,,2751195.89037825,106507,101773,107433,30.7255536450192,,349653.585550331,351402,13.0690483448783,,2688810.92736728
1995,L68A,Imputed rents of owner-occupied dwellings,0,,,337184,17.3128222425892,,1947596.96180865,,,43339,17.1709764147041,,252396.829122003,293845,17.0865837556238,,1719741.07991766
1995,M,"Professional, scientific and technical activities",106541,73.27,59.64,356126,26.4763741026638,,1345070.8870448,143778,115719,177288,32.9457981557323,,538120.215397342,178838,22.3200869112075,,801242.3997784751
1995,M-N,"Professional, scientific and technical activities; administrative and support service activities",156395,118.85,102.66,561362,25.7829226407928,0,2177262.86434197,228124,194696,271677,31.6274715743085,0,858990.575208319,289685,21.9182030631476,,1321664.00304533
1995,MARKT,"Market economy (all industries excluding L, O, P, Q, T and U)",1929097,2948.09,2532.34,9418478,31.3522574951873,0,30040828.8029842,5849647,4431122,5737813,36.5343987174618,0,15705234.5226024,3680665,24.2018686432993,,15208185.178788
1995,MARKTxAG,Non-agricultural market economy (Market economy less industry A),1806953,2617.15,2295.67,8399568,31.3362222800855,0,26804660.5137149,4674219,3942321,5145200,37.4907870124658,0,13723905.017756,3254368,23.0393719118145,,14125246.1762257
1995,N,Administrative and support service activities,49854,45.58,43.02,205236,24.7174706963883,,830327.676002823,84346,78977,94389,29.7835865465936,,316916.16405008,110847,21.2167566510218,,522450.258648093
1995,O,Public administration and defence; compulsory social security,266709,315.61,315.61,615986,20.7487795492319,,2968781.8434738,582175,582175,189143,29.5770674808559,,639492.06635318,426843,18.0238062137059,,2368217.87217959
1995,O-Q,"Public administration, defence, education, human health and social work activities",644426,900.29,892.04,1326166,20.4913107231067,0,6471845.64189233,1663220,1645818,397115,28.7354440011778,0,1381969.25018358,929051,17.6379531571063,,5267340.2164337
1995,P,Education,207796,341.07,337.16,347313,20.1897520745324,,1720244.00655273,635396,627618,70133,25.6455807389867,,273470.118356037,277180,18.6942564887629,,1482701.38567218
1995,Q,Human health and social work activities,169921,243.61,239.28,362867,20.4112390213774,0,1777780.36708088,445649,436025,137839,29.6313622654791,0,465179.422954118,225028,15.4577454895942,,1455762.097723
1995,Q86,Human health activities,128530,161.46,157.13,293034,20.2897013145665,,1444249.94462399,,,117994,31.2540615853177,,377531.73192514,175040,14.2814570261348,,1225645.2522994
1995,Q87-Q88,Residential care activities and social work activities without accommodation,41391,82.15000000000001,82.15000000000001,69833,20.5252158404942,,340230.283290012,,,19845,23.4317499881881,,84692.77800422,49988,18.9641611339071,,263591.938747154
1995,R,"Arts, entertainment and recreation",51162,63.25,56.22,153145,28.3102895117128,,540951.726885872,110822,98013,71784,26.3110729659921,,272828.098241311,81361,30.4165838916656,,267488.947114451
1995,R-S,"Arts, entertainment, recreation; other services and service activities, etc.",86051,163.36,118.47,344272,25.1868213944871,0,1366873.55108396,304801,212200,140774,26.7403576137345,0,526447.708865699,203498,23.904711700612,,851288.242036359
1995,S,Other service activities,34889,100.11,62.25,191127,22.8295532083674,,837191.154183206,193979,114187,68990,27.1035838992992,,254541.983290202,122137,20.1863300842434,,605048.06713398
1995,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,705,3.56,3.56,705,15.1879397162144,,4641.84091570598,5893,5893,0,,,,705,15.1879397162144,,4641.84091570598
1995,TOT,Total - all NACE activities,2627870,3911.48,3485.71,11204184,29.0868235611274,0,38519792.222942,7625267,6184606,6242361,35.916692210586,0,17380111.0731465,4961823,21.8335353698509,,22725696.5761559
1995,TOT_IND,Total industries (A-S),2627165,3907.92,3482.15,11203479,29.0883208649721,0,38515385.786641,7619374,6178713,6242361,35.916692210586,0,17380111.0731465,4961118,21.8349209076256,,22721025.7412354
1995,U,Activities of extraterritorial organisations and bodies,0,0,0,0,,,,,,0,,,,0,,,
1996,A,"Agriculture, forestry and fishing",140489,341.38,240.27,1312690,35.681027117144,1067783,3678957.99549245,1237525,500911,784223,30.1184918986179,620834,2603792.38987058,528467,37.8656672079986,446949,1395636.30847199
1996,B,Mining and quarrying,17996,32.24,32.24,62484,43.0114129956342,53424,145273.069746261,56871,56871,36962,38.6542584780589,31105,95622.0645675573,25522,49.6515751634379,22319,51402.1960350489
1996,C,Manufacturing,729661,913.09,863.6900000000001,4584172,47.0821507677978,3908450,9736539.060435999,1506353,1391573,3297403,53.1043914017834,2798718,6209284.98182406,1286769,32.0811177833708,1109732,4010985.55445907
1996,C10-C12,Manufacture of food products; beverages and tobacco products,143446,180.84,175.01,1175991,32.5429937767373,970732,3613653.39669712,,,957455,38.3223703099631,773521,2498423.22449214,218536,14.9221381619936,197211,1464508.62220675
1996,C13-C15,"Manufacture of textiles, wearing apparel, leather and related products",79983,164.91,152.78,244103,43.9988206993777,211226,554794.415213616,,,123752,50.7774170636326,105786,243714.641579578,120351,35.0675266438723,105440,343197.857157771
1996,C16-C18,"Manufacture of wood, paper, printing and reproduction",52143,72.79000000000001,66.79000000000001,288774,47.1810390443425,251847,612055.1938854069,,,200436,50.5840745877319,174500,396243.287306499,88338,39.2524851236962,77347,225050.719009563
1996,C19,Manufacture of coke and refined petroleum products,32922,6.11,6.11,306328,17.6091232924146,228921,1739598.24639286,,,191567,21.4573662855714,142277,892779.651754445,114761,6.52077450157626,86644,1759928.97733634
1996,C20,Manufacture of chemicals and chemical products,33516,29.13,29.13,264143,21.6475956288374,217178,1220195.55672098,,,196805,34.4778254826687,158937,570816.1615323731,67338,2.89833331292511,58241,2323335.26650322
