year,nace_r2_code,nace_r2_name,valI_CT,valI_Cult,valI_GFCF,valI_IT,valI_OCon,valI_OIPP,valI_OMach,valI_RD,valI_Rstruc,valI_Soft_DB,valI_TraEq,valIp_CT,valIp_Cult,valIp_GFCF,valIp_IT,valIp_OCon,valIp_OIPP,valIp_OMach,valIp_RD,valIp_Rstruc,valIp_Soft_DB,valIp_TraEq,valIpyp_CT,valIpyp_Cult,valIpyp_GFCF,valIpyp_IT,valIpyp_OCon,valIpyp_OIPP,valIpyp_OMach,valIpyp_RD,valIpyp_Rstruc,valIpyp_Soft_DB,valIpyp_TraEq,valIq_CT,valIq_Cult,valIq_GFCF,valIq_IT,valIq_OCon,valIq_OIPP,valIq_OMach,valIq_RD,valIq_Rstruc,valIq_Soft_DB,valIq_TraEq,valK_CT,valK_Cult,valK_GFCF,valK_IT,valK_OCon,valK_OIPP,valK_OMach,valK_RD,valK_Rstruc,valK_Soft_DB,valK_TraEq,valKpyp_CT,valKpyp_Cult,valKpyp_GFCF,valKpyp_IT,valKpyp_OCon,valKpyp_OIPP,valKpyp_OMach,valKpyp_RD,valKpyp_Rstruc,valKpyp_Soft_DB,valKpyp_TraEq,valKq_CT,valKq_Cult,valKq_GFCF,valKq_IT,valKq_OCon,valKq_OIPP,valKq_OMach,valKq_RD,valKq_Rstruc,valKq_Soft_DB,valKq_TraEq
1995,C24-C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",,0,19137,,4135,0,13442,96,0,446,1014,,0,31.1414605725209,,16.0695011976538,0,,12.729659752947,0,37.3994213404296,48.9587617887665,,0,0,,0,0,0,,0,0,0,,0,61451.8383151445,,25731.9748083016,0,,754.1442730060051,0,1192.53182005216,2071.13081081365,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,
1995,C26,"Manufacture of computer, electronic and optical products",,0,11093,,3479,0,4939,1138,0,853,684,,0,32.5528884978207,,15.8410014504977,0,,12.5225205971942,0,37.7576289784672,50.9964569793852,,0,0,,0,0,0,,0,0,0,,0,34076.8531208609,,21961.9953376791,0,,9087.627296496399,0,2259.14609332715,1341.26964992195,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,
1995,C26-C27,"Computer, electronic, optical products; electrical equipment",,0,22134,,5408,0,11703,2321,0,1059,1647,,0,31.6378546847346,,15.764882981719,0,,12.5272326437275,0,37.7499966979004,47.0645058873157,,0,0,,0,0,0,,0,0,0,,0,69960.49580656231,,34304.0922426835,0,,18527.6354803081,0,2805.29825863243,3499.45244074874,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,
1995,C27,Manufacture of electrical equipment,,0,11041,,1929,0,6764,1183,0,206,963,,0,29.7448873594608,,15.662523142671,0,,12.5310243458276,0,37.8060568160464,44.2567772772332,,0,0,,0,0,0,,0,0,0,,0,37118.9840679906,,12316.0233024309,0,,9440.569001798331,0,544.88623609264,2175.93792238323,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,
1995,C28,Manufacture of machinery and equipment n.e.c.,,0,8062,,1822,0,4705,624,0,287,624,,0,32.0553562929454,,15.8566143135742,0,,12.5168225647609,0,37.4195335287996,42.4123265164598,,0,0,,0,0,0,,0,0,0,,0,25150.2429931632,,11490.4730856717,0,,4985.29076985379,0,766.9790960358,1471.27038588141,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,
1995,C29-C30,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",,0,27428,,4560,0,18508,1260,0,1138,1965,,0,28.0514898379374,,14.5262284036296,0,,12.5053233132113,0,81.32185679236041,54.5649248066127,,0,0,,0,0,0,,0,0,0,,0,97777.3378828023,,31391.4931893857,0,,10075.7091075676,0,1399.37778708824,3601.21452923154,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,
1995,C31-C33,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",,0,6613,,2457,0,3046,112,0,241,756,,0,29.2141316856603,,15.9771608957629,0,,12.5665587775507,0,37.7595563006143,43.1901002461624,,0,0,,0,0,0,,0,0,0,,0,22636.3051661261,,15378.2015217208,0,,891.254336072338,0,638.249025177447,1750.40112361669,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,
1995,D,"Electricity, gas, steam and air conditioning supply",,0,78040,,32045,0,42594,14,0,1165,2230,,0,23.5401400635549,,13.0992166341417,0,,13.4215043397579,0,37.0174874816804,52.3649822705982,,0,0,,0,0,0,,0,0,0,,0,331518.843088033,,244632.949396975,0,,104.31021475386,0,3147.16119125196,4258.57109714347,,0,1023000,,460000,0,,0,0,3000,20000,,0,,,,0,,,0,,,,0,4724218.46072052,,2901828.4969454,0,,,0,9960.20310312617,60587.9345126957
1995,D-E,"Electricity, gas, steam; water supply, sewerage, waste management",,0,98179,,43638,0,48992,70,0,1511,3973,,0,24.571711596463,,14.8189111195238,0,,12.5215395506113,0,37.0973164522066,45.750687241966,,0,0,,0,0,0,,0,0,0,,0,399561.095345643,,294475.077473858,0,,559.036688077088,0,4073.07089704631,8684.0225568364,,0,1583000,,955000,0,,0,0,3000,32000,,0,,,,0,,,0,,,,0,9945809.51847117,,7855342.93834643,0,,,0,11304.8475876807,103203.166248148
1995,E,"Water supply; sewerage, waste management and remediation activities",,0,20139,,11593,0,6398,56,0,346,1743,,0,24.990831524217,,15.7729684592842,0,,12.2439231380898,0,37.3068337053367,39.7803723243801,,0,0,,0,0,0,,0,0,0,,0,80585.553867964,,73499.1642817635,0,,457.369744716781,0,927.444024686838,4381.5577837912,,0,560000,,495000,0,,0,0,0,12000,,0,,,,0,,,0,,,,0,5195542.86386243,,5129779.64915175,0,,,0,,42078.1526249646
1995,F,Construction,,0,29570,,15807,0,7339,24,0,349,6043,,0,33.3529207354933,,18.8641000674603,0,,13.2897079887848,0,37.5245726460305,36.207875132791,,0,0,,0,0,0,,0,0,0,,0,88657.9026601779,,83794.0847613841,0,,180.590875437245,0,930.057227545585,16689.7393946415,,0,347000,,231000,0,,0,0,0,52000,,0,,,,0,,,0,,,,0,1727866.66850741,,1471219.4733982,0,,,0,,176207.956844577
1995,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,,0,71106,,26560,0,33269,1029,0,2372,7438,,0,29.6074132997897,,15.8416564750552,0,,12.492745359919,0,37.4287119860461,39.7921951109483,,0,0,,0,0,0,,0,0,0,,0,240162.824357591,,167659.234637629,0,,8236.780390172549,0,6337.38078105469,18692.1077846081,,0,789000,,394000,0,,3000,0,3000,95000,,0,,,,0,,,0,,,,0,3348151.23777714,,2456449.30224843,0,,27600.2338967196,0,8873.304800123589,290490.463362049
1995,G45,Wholesale and retail trade and repair of motor vehicles and motorcycles,,0,6938,,2905,0,1720,0,0,252,2002,,0,31.4007658942577,,15.1268937512811,0,,0,0,37.4502071122679,38.0191343897746,,0,0,,0,0,0,0,0,0,0,,0,22095.0024702065,,19204.2070749255,0,,0,0,672.893474913387,5265.76954508055,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,
1995,G46,"Wholesale trade, except of motor vehicles and motorcycles",,0,35463,,12753,0,17629,1007,0,1393,2423,,0,29.0657771947523,,15.7221643407733,0,,12.5131631982453,0,37.1915830922157,42.1451824742069,,0,0,,0,0,0,,0,0,0,,0,122009.467568625,,81114.7862570477,0,,8047.52550611034,0,3745.47110981022,5749.17430119775,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,
1995,G47,"Retail trade, except of motor vehicles and motorcycles",,0,28705,,10902,0,13920,22,0,727,3013,,0,30.682790103317,,16.2024741518607,0,,11.3361800859711,0,37.773997748899,40.8744542976945,,0,0,,0,0,0,,0,0,0,,0,93554.07348335269,,67286.0200103945,0,,194.068900045313,0,1924.60433982313,7371.35223397942,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,
1995,H,Transportation and storage,,0,109305,,58921,0,22069,70,0,1716,26666,,0,26.1494564845276,,15.5912628293627,0,,12.5904959456934,0,37.4500327090387,36.1737667638162,,0,0,,0,0,0,,0,0,0,,0,418001.039771801,,377910.376118061,0,,555.974921892921,0,4582.10547726928,73716.40386279429,,0,2022000,,720000,0,,,0,6000,1112000,,0,,,,0,,,0,,,,0,9071501.282057621,,4469980.09850571,0,,,0,12702.5231050899,3607416.37852001
1995,H49,Land transport and transport via pipelines,,0,26311,,6204,0,7651,70,0,365,12021,,0,33.4434395494618,,15.8259022458437,0,,12.6230757411818,0,37.3923989261033,41.6126881429711,,0,0,,0,0,0,,0,0,0,,0,78673.1279869908,,39201.5564334054,0,,554.539966607587,0,976.134215730131,28887.8237298652,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,
1995,H50,Water transport,,0,58,,17,0,169,0,0,1,11,,0,34.3717361320896,,15.5679256372326,0,,0,0,81.1956626416557,47.7594858305263,,0,0,,0,0,0,0,0,0,0,,0,168.743294714901,,109.19887720521,0,,0,0,1.23159288004501,23.0320737518685,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,
