nace_r2_code,year,LAB,CAP,CAP_QI,CAPICT_QI,CAPNICT_QI,CAPTang_QI,CAPIntang_QI,CAPEconComp_QI,CAPInnovprop_QI,LAB_QI,VAadj_G,VAConTangNICT,VAConTangICT,VAConIntang,VAConIntangNA,VAConIntangnonNA,VAConEconComp,VAConInnovprop,VAConH,VAConLC,VAConTFP,VATFP_I,VACon_Soft_DB,LP1_G,LP1ConLC,LP1ConTangNICT,LP1ConTangICT,LP1ConIntang,LP1ConIntangNA,LP1ConIntangnonNA,LP1ConEconComp,LP1ConInnovprop,LP1ConTFP,LP1TFP_I,LP1Con_Soft_DB,LP2_G,LP2ConLC,LP2ConTangNICT,LP2ConTangICT,LP2ConIntang,LP2ConIntangNA,LP2ConIntangnonNA,LP2ConEconComp,LP2ConTFP,LP2TFP_I,LP2Con_Soft_DB
A,1995,293721.75,134472.96875,112.188148498535,9.8687744140625,112.495849609375,112.768646240234,49.072338104248,96.6842651367188,42.0101280212402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1996,347084.90625,183966.28125,109.738304138184,10.4546089172363,110.005294799805,110.258697509766,52.925178527832,100.587203979492,46.8223304748535,,4.7676215171814,-0.776334643363953,,0.0114789139479399,0.0043457169085741,0.00713319471105933,0.00265060877427459,0.0083988020196557,3.44803404808044,,,,,-0.380486607551575,,-2.55191946029663,,0.0036604730412364,0.00336032686755061,0.00030014477670192,-0.00079748622374609,0.00441188411787152,,,,1.66170763969421,,-1.84756553173065,,0.00676195695996284,0.00375121971592307,0.00301073584705591,0.00057033274788409,,,
A,1997,431588.34375,146554.328125,107.659103393555,11.5306539535522,107.904174804688,108.141288757324,54.996639251709,100.064590454102,50.1597442626953,,-3.4717435836792,-0.579014539718628,,0.00519145280122757,0.00352334417402744,0.00163329753559083,-0.00030451524071395,0.00482635153457522,-2.53432273864746,,,,0.00065288686892017,0.148486718535423,,0.501997768878937,,0.0100866975262761,0.00418353639543056,0.005868349224329,0.00181179272476584,0.00736402068287134,,,0.00089415395632386,0.471655279397964,,0.598496913909912,,0.0105236833915114,0.00424247002229095,0.00624640146270394,0.0020007099956274,,,0.00091569125652313
A,1998,457124.21875,191682.578125,106.870613098145,14.5076293945312,107.104354858398,107.328880310059,56.7633743286133,98.3276824951172,52.6939582824707,,3.92581868171692,-0.205965995788574,,0.00421021180227399,0.00432410789653659,-6.642263906542e-05,-0.000950220040977,0.00353562389500439,-3.59675693511963,,,,0.00164283532649279,8.88320541381836,,1.14806270599365,,0.0108111519366503,0.00540556060150266,0.00545306503772736,0.00173998018726707,0.00709175365045667,,,0.00199744524434209,9.05867671966553,,1.19598984718323,,0.0110447974875569,0.00544383935630322,0.00564843229949474,0.00183520221617073,,,0.00200999714434147
A,1999,480561.65625,157761.03125,107.22883605957,17.6848449707031,107.454811096191,107.666145324707,59.297306060791,98.0901031494141,55.9136772155762,,2.67025828361511,0.084679014980793,,0.00607993407174945,0.00516060972586274,0.00089594884775579,-0.00013090476568322,0.00455444073304534,-1.21541523933411,,,,0.0016459651524201,4.33816719055176,,0.534850716590881,,0.00840193685144186,0.00560653069987893,0.00277203018777072,0.00077163538662716,0.00583527283743024,,,0.00178459426388144,3.78629088401794,,0.385898292064667,,0.00763363437727094,0.00545898452401161,0.00215127412229776,0.00047300368896685,,,0.00173872488085181
A,2000,551555.25,128136.734375,107.07494354248,21.6876735687256,107.284408569336,107.484649658203,62.0201606750488,98.7875595092773,58.8303298950195,,-10.4657220840454,-0.0365543365478516,,0.00525178760290146,0.00372231542132795,0.0015042134327814,0.00031017255969345,0.00332217523828149,-5.55066442489624,,,,0.00160479918122292,-3.36917781829834,,1.50102400779724,,0.0135531621053815,0.00555162783712149,0.00797627493739128,0.00341687747277319,0.0079586822539568,,,0.00216296198777854,-3.39716148376465,,1.4949609041214,,0.0135204270482063,0.00554441381245852,0.00795075483620167,0.00340462638996542,,,0.00216076103970408
A,2001,601289.8125,179121.8125,108.015022277832,26.4466876983643,108.183052062988,108.380332946777,67.6326522827148,109.42554473877,62.5265274047852,,11.7942867279053,0.172476604580879,,0.0102627659216523,0.00285577052272856,0.00740779517218471,0.00445644417777658,0.00400904379785061,-7.08630084991455,,,,0.00180466321762651,20.7531967163086,,2.03447270393372,,0.0208759158849716,0.00542407715693116,0.0154526382684708,0.00836021266877651,0.00990346074104309,,,0.00261962739750743,16.9408416748047,,1.24212265014648,,0.0163596160709858,0.00433116499334574,0.0120292529463768,0.00669901072978973,,,0.00227282918058336
A,2002,645756.625,121975.0703125,108.297294616699,31.3284645080566,108.42667388916,108.60563659668,74.0141296386719,118.289047241211,68.1738815307617,,-16.5520763397217,0.0400865525007248,,0.0105204861611128,0.00493118073791265,0.00556395342573524,0.00331013253889978,0.00558942323550582,-2.25626516342163,,,,0.00161627249326557,-13.752046585083,,0.580584526062012,,0.0137875685468316,0.00577956577762961,0.00798264984041452,0.00450012506917119,0.00739935040473938,,,0.00188343378249556,-13.2661294937134,,0.674382328987122,,0.0143545363098383,0.00592679437249899,0.0084023904055357,0.00470663607120514,,,0.00192979699932039
A,2003,571555.875,180655.109375,108.194610595703,33.7266540527344,108.305870056152,108.483093261719,76.0357131958008,122.677932739258,69.1401672363281,,-0.0843910500407219,-0.0223798975348473,,0.00347344903275371,0.00103649694938213,0.00243679876439273,0.00166860886383802,0.00102106365375221,-13.1616353988647,,,,0.00077813147800043,16.3578128814697,,3.23699712753296,,0.0246672593057156,0.00688301725313067,0.0177840907126665,0.00919939018785954,0.0129495561122894,,,0.00251267058774829,11.5165328979492,,2.27729868888855,,0.0184269063174725,0.0051615540869534,0.013265198096633,0.00698200892657042,,,0.00200194888748229
A,2004,630914.5625,293526.75,107.707618713379,36.1087989807129,107.816184997559,107.992485046387,75.9384689331055,121.827323913574,68.6277770996094,,40.3246841430664,-0.125557109713554,,-0.00023521354887634,0.0008621247834526,-0.00109926180448383,-0.00044320023152977,-0.00078534823842346,-5.89771604537964,,,,0.00099119846709072,48.5028038024902,,2.13981151580811,,0.0147961992770433,0.00494394451379776,0.00985033065080643,0.00476610800251365,0.00784901063889265,,,0.00217894371598959,47.5325088500977,,1.87103712558746,,0.013012801297009,0.004459657240659,0.00855121854692698,0.00414805021136999,,,0.00203802366741002
