year,nace_r2_name,nace_r2_code,valueCAP,valueCAPEconComp_QI,valueCAPICT_QI,valueCAPInnovprop_QI,valueCAPIntang_QI,valueCAPNICT_QI,valueCAPTang_QI,valueCAP_QI,valueLAB,valueLAB_QI,valueLP1ConEconComp,valueLP1ConInnovprop,valueLP1ConIntang,valueLP1ConIntangNA,valueLP1ConIntangnonNA,valueLP1ConLC,valueLP1ConTFP,valueLP1ConTangICT,valueLP1ConTangNICT,valueLP1Con_Soft_DB,valueLP1TFP_I,valueLP1_G,valueLP2ConEconComp,valueLP2ConIntang,valueLP2ConIntangNA,valueLP2ConIntangnonNA,valueLP2ConLC,valueLP2ConTFP,valueLP2ConTangICT,valueLP2ConTangNICT,valueLP2Con_Soft_DB,valueLP2TFP_I,valueLP2_G,valueVAConEconComp,valueVAConH,valueVAConInnovprop,valueVAConIntang,valueVAConIntangNA,valueVAConIntangnonNA,valueVAConLC,valueVAConTFP,valueVAConTangICT,valueVAConTangNICT,valueVACon_Soft_DB,valueVATFP_I,valueVAadj_G
1995,Manufacture of rubber and plastic products and other non-metallic mineral products,C22-C23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Manufacture of textiles, wearing apparel, leather and related products",C13-C15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Manufacture of wood, paper, printing and reproduction",C16-C18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Manufacturing,C,492467.06,45.109505,14.743943,49.157509,44.590801,39.779778,81.664047,32.862751,654671.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Market economy (all industries excluding L, O, P, Q, T and U)",MARKT,1418265.3,46.130135,12.337865,35.816605,38.980198,90.489021,93.846413,80.812653,2546654.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Mining and quarrying,B,7789.3496,233.21458,4.2110515,172.35081,176.45657,118.12932,118.12932,121.60523,16570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Non-agricultural market economy (Market economy less industry A),MARKTxAG,1394308.5,45.971169,12.353608,35.822014,38.940277,86.92453,90.721138,75.242348,2142416.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Other service activities,S,66623.438,61.18988,4.1643019,82.509521,63.372303,192.92841,194.44371,185.93211,59268.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Postal and courier activities,H53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Professional, scientific and technical activities",M,69959.656,35.00573,9.9525795,27.70034,28.205524,70.594337,120.96578,57.897297,132374.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Professional, scientific and technical activities; administrative and support service activities",M-N,135965.94,30.05945,8.2469854,29.905666,27.940369,63.85696,80.907097,53.943481,183246.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Public administration and defence; compulsory social security,O,176463.08,42.149029,8.0128393,49.132675,32.059532,97.340729,97.340729,95.973175,266709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Public administration, defence, education, human health and social work activities",O-Q,311748.53,49.247318,7.8296404,61.047092,40.347683,98.317665,98.336761,96.525452,651239.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Publishing, motion picture, video, television programme production; sound recording, programming and broadcasting activities",J58-J60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Real estate activities,L,304753.72,38.643105,6.9401975,44.743454,40.8353,69.163864,69.167297,69.004547,56137.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Residential care activities and social work activities without accommodation,Q87-Q88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
